School Name,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Massachusetts Institute of Technology (MIT),Engineering,72200.0,126000.0,76800.0,99200.0,168000.0,220000.0
Polytechnic University of New York Brooklyn,Engineering,62400.0,114000.0,66800.0,94300.0,143000.0,190000.0
Worcester Polytechnic Institute (WPI),Engineering,61000.0,114000.0,80000.0,91200.0,137000.0,180000.0
Carnegie Mellon University (CMU),Engineering,61800.0,111000.0,63300.0,80100.0,150000.0,209000.0
Rensselaer Polytechnic Institute (RPI),Engineering,61100.0,110000.0,71600.0,85500.0,140000.0,182000.0
Georgia Institute of Technology,Engineering,58300.0,106000.0,67200.0,85200.0,137000.0,183000.0
Colorado School of Mines,Engineering,58100.0,106000.0,62200.0,87900.0,142000.0,201000.0
Stevens Institute of Technology,Engineering,60600.0,105000.0,68700.0,81900.0,138000.0,185000.0
Illinois Institute of Technology (IIT),Engineering,56000.0,97800.0,56100.0,77400.0,121000.0,165000.0
Wentworth Institute of Technology,Engineering,53000.0,96700.0,55200.0,74000.0,117000.0,153000.0
Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,53500.0,95400.0,50600.0,71400.0,124000.0,163000.0
South Dakota School of Mines & Technology,Engineering,55800.0,93400.0,71500.0,81900.0,122000.0,147000.0
Rochester Institute of Technology (RIT),Engineering,48900.0,84600.0,45000.0,62100.0,112000.0,159000.0
Embry-Riddle Aeronautical University (ERAU),Engineering,52700.0,80700.0,49800.0,64000.0,106000.0,142000.0
Tennessee Technological University,Engineering,46200.0,80000.0,42100.0,62600.0,99500.0,121000.0
University of Illinois at Urbana-Champaign (UIUC),Party,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0
University of Maryland College Park,Party,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0
University of California Santa Barbara (UCSB),Party,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0
University of Texas (UT) - Austin,Party,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0
State University of New York (SUNY) at Albany,Party,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0
University of Florida (UF),Party,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0
Louisiana State University (LSU),Party,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0
University of Georgia (UGA),Party,44100.0,86000.0,43100.0,57800.0,118000.0,164000.0
Pennsylvania State University (PSU),Party,49900.0,85700.0,46300.0,62000.0,117000.0,160000.0
Arizona State University (ASU),Party,47400.0,84100.0,44600.0,60700.0,114000.0,163000.0
Indiana University (IU) Bloomington,Party,46300.0,84000.0,43600.0,60400.0,119000.0,178000.0
University of Iowa (UI),Party,44700.0,83900.0,43300.0,61100.0,116000.0,163000.0
University of Alabama Tuscaloosa,Party,41300.0,81400.0,40100.0,56500.0,117000.0,161000.0
University of Mississippi,Party,41400.0,79700.0,40400.0,53500.0,108000.0,186000.0
University of New Hampshire (UNH),Party,41800.0,78300.0,41700.0,56400.0,114000.0,147000.0
West Virginia University (WVU),Party,43100.0,78100.0,39700.0,55700.0,106000.0,141000.0
University of Tennessee,Party,43800.0,74600.0,41900.0,53200.0,106000.0,153000.0
Ohio University,Party,42200.0,73400.0,36600.0,52800.0,106000.0,150000.0
Florida State University (FSU),Party,42100.0,73000.0,39600.0,52800.0,107000.0,156000.0
Bucknell University,Liberal Arts,54100.0,110000.0,62800.0,80600.0,156000.0,251000.0
Colgate University,Liberal Arts,52800.0,108000.0,60000.0,76700.0,167000.0,265000.0
Lafayette College,Liberal Arts,53900.0,107000.0,70600.0,79300.0,144000.0,204000.0
Wesleyan University (Middletown Connecticut),Liberal Arts,46500.0,97900.0,42000.0,62500.0,126000.0,215000.0
Union College,Liberal Arts,47200.0,95800.0,48700.0,75200.0,135000.0,230000.0
University of Richmond,Liberal Arts,48600.0,94600.0,44500.0,59400.0,151000.0,211000.0
DePauw University,Liberal Arts,41400.0,88300.0,49500.0,57400.0,133000.0,185000.0
St. Olaf College,Liberal Arts,45300.0,86200.0,41300.0,61000.0,120000.0,185000.0
Siena College,Liberal Arts,45500.0,85200.0,38700.0,58400.0,129000.0,189000.0
Smith College,Liberal Arts,44000.0,83900.0,45100.0,59800.0,129000.0,184000.0
University of Puget Sound,Liberal Arts,46600.0,81500.0,48900.0,60100.0,104000.0,137000.0
Ursinus College,Liberal Arts,42100.0,80000.0,35600.0,54300.0,100000.0,160000.0
Lewis & Clark College,Liberal Arts,38900.0,72600.0,38200.0,53400.0,104000.0,140000.0
Evergreen State College,Liberal Arts,39500.0,63900.0,38800.0,47200.0,91600.0,120000.0
Dartmouth College,Ivy League,58000.0,134000.0,63100.0,90200.0,234000.0,321000.0
Princeton University,Ivy League,66500.0,131000.0,68900.0,100000.0,190000.0,261000.0
Yale University,Ivy League,59100.0,126000.0,58000.0,80600.0,198000.0,326000.0
Harvard University,Ivy League,63400.0,124000.0,54800.0,86200.0,179000.0,288000.0
University of Pennsylvania,Ivy League,60900.0,120000.0,55900.0,79200.0,192000.0,282000.0
Cornell University,Ivy League,60300.0,110000.0,56800.0,79800.0,160000.0,210000.0
Brown University,Ivy League,56200.0,109000.0,55400.0,74400.0,159000.0,228000.0
Columbia University,Ivy League,59400.0,107000.0,50300.0,71900.0,161000.0,241000.0
University of California Berkeley,State,59900.0,112000.0,59500.0,81000.0,149000.0,201000.0
University of Virginia (UVA),State,52700.0,103000.0,52200.0,71800.0,146000.0,215000.0
Cal Poly San Luis Obispo,State,57200.0,101000.0,55000.0,74700.0,133000.0,178000.0
University of California at Los Angeles (UCLA),State,52600.0,101000.0,51300.0,72500.0,139000.0,193000.0
University of California San Diego (UCSD),State,51100.0,101000.0,51700.0,75400.0,131000.0,177000.0
University of California Davis,State,52300.0,99600.0,52000.0,71600.0,135000.0,202000.0
University of Colorado - Boulder (UCB),State,47100.0,97600.0,51600.0,69000.0,128000.0,187000.0
University of California Irvine (UCI),State,48300.0,96700.0,47800.0,66000.0,123000.0,172000.0
University of Illinois at Urbana-Champaign (UIUC),State,52900.0,96100.0,48200.0,68900.0,132000.0,177000.0
Texas A&M University,State,49700.0,96100.0,51100.0,71300.0,131000.0,171000.0
Binghamton University,State,53600.0,95900.0,50900.0,71200.0,146000.0,201000.0
University of Missouri - Rolla (UMR),State,57100.0,95800.0,67600.0,80400.0,122000.0,166000.0
San Jose State University (SJSU),State,53500.0,95600.0,50700.0,70500.0,122000.0,156000.0
University of Maryland College Park,State,52000.0,95000.0,50400.0,68300.0,126000.0,166000.0
University of California Santa Barbara (UCSB),State,50500.0,95000.0,51300.0,71200.0,129000.0,173000.0
University of Texas (UT) - Austin,State,49700.0,93900.0,50100.0,67400.0,129000.0,188000.0
University of Michigan,State,52700.0,93000.0,50900.0,69400.0,128000.0,182000.0
Stony Brook University,State,49500.0,93000.0,47200.0,67100.0,129000.0,181000.0
State University of New York (SUNY) at Albany,State,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0
Rutgers University,State,50300.0,91800.0,48100.0,65100.0,128000.0,176000.0
Purdue University,State,51400.0,90500.0,49900.0,67400.0,121000.0,168000.0
University of Connecticut (UConn),State,48000.0,88800.0,46100.0,66400.0,120000.0,162000.0
University of Massachusetts (UMass) - Amherst,State,46600.0,88200.0,43100.0,61300.0,122000.0,168000.0
California State University (CSU) Chico,State,47400.0,88100.0,46800.0,62800.0,122000.0,154000.0
University of Florida (UF),State,47100.0,87900.0,45400.0,62900.0,120000.0,172000.0
University of Wisconsin (UW) - Madison,State,48900.0,87800.0,47400.0,62400.0,118000.0,170000.0
Louisiana State University (LSU),State,46900.0,87800.0,43700.0,61300.0,120000.0,165000.0
California State University Fullerton (CSUF),State,45700.0,87000.0,45400.0,62500.0,119000.0,158000.0
George Mason University,State,47800.0,86900.0,51300.0,67200.0,114000.0,150000.0
University of Massachusetts (UMass) - Lowell,State,45400.0,86600.0,50900.0,65000.0,113000.0,158000.0
San Francisco State University (SFSU),State,47300.0,86400.0,45100.0,62700.0,114000.0,150000.0
University of Arizona,State,47500.0,86100.0,44800.0,61700.0,117000.0,160000.0
Clemson University,State,48400.0,86000.0,50500.0,61800.0,111000.0,150000.0
University of Georgia (UGA),State,44100.0,86000.0,43100.0,57800.0,118000.0,164000.0
Pennsylvania State University (PSU),State,49900.0,85700.0,46300.0,62000.0,117000.0,160000.0
University of Washington (UW),State,48800.0,85300.0,47000.0,59800.0,115000.0,149000.0
Michigan State University (MSU),State,46300.0,85300.0,44200.0,61500.0,119000.0,170000.0
University of Rhode Island (URI),State,43900.0,85300.0,45400.0,60100.0,112000.0,157000.0
San Diego State University (SDSU),State,46200.0,85200.0,45500.0,61800.0,116000.0,158000.0
Auburn University,State,45400.0,84700.0,45400.0,62700.0,109000.0,145000.0
Washington State University (WSU),State,45300.0,84700.0,43600.0,59000.0,113000.0,162000.0
California State University Long Beach (CSULB),State,45100.0,84700.0,47400.0,62500.0,113000.0,154000.0
Iowa State University,State,45400.0,84600.0,44400.0,60000.0,109000.0,147000.0
University of Delaware,State,45900.0,84500.0,44500.0,64000.0,119000.0,165000.0
University of Colorado - Denver,State,46100.0,84400.0,46400.0,58600.0,105000.0,144000.0
California State University East Bay (CSUEB),State,49200.0,84300.0,46000.0,62400.0,115000.0,155000.0
State University of New York (SUNY) at Farmingdale,State,47300.0,84200.0,50200.0,59800.0,110000.0,162000.0
University of Minnesota,State,46200.0,84200.0,49000.0,63200.0,112000.0,148000.0
Arizona State University (ASU),State,47400.0,84100.0,44600.0,60700.0,114000.0,163000.0
University of California Santa Cruz (UCSC),State,44700.0,84100.0,46100.0,62000.0,121000.0,165000.0
Indiana University (IU) Bloomington,State,46300.0,84000.0,43600.0,60400.0,119000.0,178000.0
University of Iowa (UI),State,44700.0,83900.0,43300.0,61100.0,116000.0,163000.0
Ohio State University (OSU),State,44900.0,83700.0,45500.0,60700.0,116000.0,162000.0
North Carolina State University (NCSU),State,47200.0,83300.0,49200.0,64800.0,112000.0,153000.0
Oregon State University (OSU),State,45100.0,83300.0,46900.0,64000.0,113000.0,146000.0
University of Utah,State,45400.0,83200.0,43000.0,58400.0,116000.0,148000.0
University of Nevada Reno (UNR),State,46500.0,82900.0,41900.0,54600.0,113000.0,143000.0
University of Oklahoma,State,44700.0,82900.0,41200.0,60300.0,114000.0,167000.0
University of Arkansas,State,44100.0,82800.0,43200.0,60700.0,113000.0,160000.0
University of Vermont (UVM),State,44800.0,82700.0,44700.0,58000.0,122000.0,194000.0
University of Alabama at Huntsville (UAH),State,43100.0,82700.0,46100.0,67800.0,106000.0,132000.0
California State University Sacramento (CSUS),State,47800.0,82400.0,42900.0,59600.0,111000.0,154000.0
University of Idaho,State,44900.0,82000.0,43000.0,56700.0,104000.0,142000.0
University of Illinois at Chicago,State,47500.0,81700.0,44700.0,58800.0,110000.0,146000.0
State University of New York (SUNY) at Buffalo,State,46200.0,81700.0,45900.0,61400.0,110000.0,147000.0
University of Kansas,State,42400.0,81600.0,44800.0,57200.0,115000.0,156000.0
University of New Mexico (UNM),State,41600.0,81600.0,41800.0,59100.0,105000.0,141000.0
University of North Carolina at Chapel Hill (UNCH),State,42900.0,81500.0,43400.0,57500.0,117000.0,155000.0
University of Alabama Tuscaloosa,State,41300.0,81400.0,40100.0,56500.0,117000.0,161000.0
University of California Riverside (UCR),State,46800.0,81300.0,37200.0,59900.0,109000.0,134000.0
State University of New York (SUNY) at Geneseo,State,42300.0,81300.0,39300.0,47600.0,117000.0,173000.0
University of Missouri - Columbia,State,41700.0,81000.0,43500.0,57100.0,111000.0,156000.0
University of Nebraska,State,45700.0,80900.0,42200.0,56600.0,113000.0,156000.0
University of Texas at Arlington (UTA),State,45400.0,80800.0,46400.0,61200.0,106000.0,138000.0
Northern Illinois University (NIU),State,43600.0,80800.0,43900.0,60200.0,111000.0,161000.0
Oklahoma State University,State,42800.0,80700.0,40100.0,56500.0,114000.0,151000.0
University of North Dakota,State,44000.0,80600.0,43400.0,56400.0,111000.0,157000.0
California State University Northridge (CSUN),State,45500.0,80400.0,44500.0,57800.0,108000.0,153000.0
University of Houston (UH),State,46000.0,79900.0,42000.0,56200.0,106000.0,141000.0
University of Mississippi,State,41400.0,79700.0,40400.0,53500.0,108000.0,186000.0
New Mexico State University,State,44300.0,79500.0,37400.0,53800.0,102000.0,131000.0
Lamar University,State,46500.0,79400.0,38700.0,51600.0,114000.0,158000.0
Mississippi State University (MSU),State,44500.0,79300.0,43300.0,58800.0,108000.0,151000.0
Colorado State University (CSU),State,44800.0,79000.0,43800.0,57100.0,112000.0,150000.0
Kansas State University (KSU),State,43300.0,79000.0,37200.0,54100.0,106000.0,138000.0
University of Wyoming (UW),State,44500.0,78700.0,41500.0,54000.0,105000.0,145000.0
Utah State University,State,43800.0,78700.0,41600.0,55400.0,101000.0,132000.0
University of Wisconsin (UW) - Platteville,State,45800.0,78500.0,48400.0,61200.0,100000.0,139000.0
University of Oregon,State,42200.0,78400.0,38100.0,56200.0,117000.0,186000.0
University of Kentucky (UK),State,42800.0,78300.0,43000.0,57300.0,107000.0,149000.0
University of New Hampshire (UNH),State,41800.0,78300.0,41700.0,56400.0,114000.0,147000.0
University of Massachusetts (UMass) - Boston,State,45600.0,78200.0,36300.0,53800.0,109000.0,151000.0
West Virginia University (WVU),State,43100.0,78100.0,39700.0,55700.0,106000.0,141000.0
University of Maryland Baltimore County (UMBC),State,47000.0,77800.0,46900.0,59100.0,105000.0,130000.0
North Dakota State University (NDSU),State,45100.0,77800.0,39000.0,55800.0,100000.0,123000.0
State University of New York (SUNY) at Oswego,State,38000.0,77800.0,40400.0,53000.0,115000.0,169000.0
University of Massachusetts (UMass) - Dartmouth,State,43200.0,77700.0,43300.0,56200.0,107000.0,132000.0
Montana State University - Bozeman,State,46600.0,77500.0,40200.0,58100.0,111000.0,151000.0
State University of New York (SUNY) at Oneonta,State,37500.0,76700.0,40000.0,54300.0,97700.0,155000.0
University of Louisiana (UL) at Lafayette,State,41100.0,76300.0,42000.0,54500.0,107000.0,163000.0
State University of New York (SUNY) at Plattsburgh,State,40800.0,76200.0,38400.0,54100.0,105000.0,136000.0
Wayne State University,State,42800.0,76100.0,40100.0,56200.0,101000.0,139000.0
University of Hawaii,State,43800.0,76000.0,40400.0,56300.0,104000.0,128000.0
University of Toledo,State,43100.0,75900.0,40100.0,54100.0,100000.0,133000.0
Florida International University (FIU),State,43200.0,75500.0,40500.0,55800.0,98200.0,136000.0
University of Wisconsin (UW) - Whitewater,State,40800.0,75500.0,38200.0,53500.0,99300.0,150000.0
Western Washington University,State,42700.0,75400.0,41300.0,56700.0,99200.0,119000.0
Minnesota State University - Mankato,State,43300.0,74700.0,39500.0,53800.0,95700.0,140000.0
University of Tennessee,State,43800.0,74600.0,41900.0,53200.0,106000.0,153000.0
University of Wisconsin (UW) - Milwaukee,State,42300.0,74600.0,40600.0,54000.0,93700.0,123000.0
University of Arkansas - Monticello (UAM),State,39200.0,74500.0,32800.0,46100.0,110000.0,161000.0
Penn State - Harrisburg,State,45700.0,74000.0,44000.0,53100.0,104000.0,150000.0
University of North Carolina at Charlotte (UNCC),State,43100.0,74000.0,38200.0,53200.0,99500.0,133000.0
Georgia State University,State,41800.0,74000.0,43000.0,55300.0,99900.0,145000.0
Western Michigan University (WMU),State,42300.0,73800.0,40100.0,52500.0,103000.0,135000.0
South Dakota State University (SDSU),State,41100.0,73500.0,34100.0,49900.0,99400.0,129000.0
Idaho State University,State,44900.0,73400.0,35400.0,49600.0,101000.0,143000.0
Ohio University,State,42200.0,73400.0,36600.0,52800.0,106000.0,150000.0
Illinois State University,State,42000.0,73400.0,39100.0,55200.0,105000.0,142000.0
Cleveland State University,State,43500.0,73100.0,39500.0,51600.0,97000.0,137000.0
Florida State University (FSU),State,42100.0,73000.0,39600.0,52800.0,107000.0,156000.0
University of Alaska Anchorage,State,45900.0,72600.0,39800.0,56600.0,99300.0,137000.0
Fitchburg State College,State,42400.0,72600.0,43300.0,56100.0,99600.0,151000.0
University of Nebraska at Omaha,State,41500.0,72600.0,39500.0,54400.0,97400.0,126000.0
Southern Illinois University Carbondale,State,43000.0,72500.0,38300.0,51300.0,99300.0,139000.0
University of Texas at El Paso (UTEP),State,43400.0,72100.0,37700.0,50400.0,99500.0,133000.0
California State University Dominguez Hills (CSUDH),State,42700.0,72100.0,30800.0,47000.0,92200.0,132000.0
University Of Maine,State,41200.0,72100.0,41700.0,55600.0,99300.0,141000.0
Eastern Michigan University,State,40300.0,72100.0,37900.0,52800.0,95400.0,135000.0
Bowling Green State University,State,39800.0,72100.0,38200.0,51800.0,101000.0,146000.0
University of Montana,State,37300.0,71900.0,37000.0,51500.0,96400.0,138000.0
University of Central Florida (UCF),State,42600.0,71700.0,39500.0,51500.0,98400.0,125000.0
University of South Carolina,State,40000.0,71700.0,36300.0,49900.0,98400.0,131000.0
University of Nevada Las Vegas (UNLV),State,45200.0,71600.0,39000.0,52400.0,100000.0,128000.0
St. Cloud State University,State,41800.0,71400.0,38700.0,49400.0,101000.0,126000.0
University of Wisconsin (UW) - Parkside,State,40700.0,71400.0,40900.0,53100.0,84900.0,119000.0
California State University (CSU) Stanislaus,State,38000.0,71400.0,33700.0,50500.0,94100.0,121000.0
Humboldt State University,State,42600.0,71300.0,36000.0,56300.0,94400.0,117000.0
Florida Atlantic University (FAU),State,42600.0,71100.0,40700.0,53000.0,99500.0,137000.0
University of South Florida (USF),State,41100.0,71100.0,39600.0,51500.0,98100.0,131000.0
Portland State University (PSU),State,42600.0,70900.0,40700.0,52300.0,94400.0,123000.0
Eastern Washington University,State,38600.0,70900.0,36000.0,50500.0,93100.0,117000.0
University of Texas at San Antonio (UTSA),State,42500.0,70700.0,39100.0,49800.0,92700.0,121000.0
University of Akron,State,41100.0,70300.0,40600.0,53300.0,95200.0,127000.0
State University of New York (SUNY) at Potsdam,State,38000.0,70300.0,35100.0,51200.0,100000.0,179000.0
University of Alabama at Birmingham (UAB),State,39200.0,70100.0,43000.0,53400.0,91400.0,125000.0
University of Memphis (U of M),State,41400.0,69700.0,36100.0,49100.0,93500.0,127000.0
Boise State University (BSU),State,40800.0,69500.0,37400.0,48700.0,87500.0,110000.0
Missouri State University (MSU),State,36100.0,69500.0,33300.0,46900.0,102000.0,134000.0
University of Wisconsin (UW) - La Crosse,State,42200.0,69300.0,37500.0,47200.0,93100.0,133000.0
Appalachian State University,State,40400.0,69100.0,37200.0,50400.0,90800.0,115000.0
Virginia Commonwealth University (VCU),State,42000.0,68400.0,37400.0,51900.0,100000.0,123000.0
University of Wisconsin (UW) - Stout,State,43600.0,68300.0,40900.0,50600.0,91600.0,136000.0
East Carolina University (ECU),State,40200.0,67500.0,38400.0,52000.0,98700.0,151000.0
Utah Valley State College,State,42400.0,67100.0,27000.0,44100.0,84900.0,110000.0
University of Missouri - St. Louis (UMSL),State,41400.0,67100.0,36800.0,49600.0,97600.0,144000.0
Western Carolina University,State,36900.0,66600.0,39000.0,49500.0,94400.0,133000.0
University of Wisconsin (UW) - Oshkosh,State,39300.0,66400.0,37700.0,49700.0,90100.0,138000.0
State University of New York (SUNY) at Fredonia,State,37800.0,66200.0,32800.0,44200.0,93300.0,181000.0
University of Missouri - Kansas City (UMKC),State,38900.0,65800.0,36300.0,48100.0,95800.0,124000.0
University of Wisconsin (UW) - Eau Claire,State,41400.0,64800.0,35000.0,47300.0,93100.0,125000.0
Ball State University (BSU),State,39100.0,64500.0,35500.0,48200.0,89300.0,128000.0
University of North Carolina at Wilmington (UNCW),State,37500.0,64400.0,32100.0,46600.0,97100.0,129000.0
University of Wisconsin (UW) - Stevens Point,State,39800.0,64000.0,38400.0,45100.0,95400.0,128000.0
University of Southern Maine,State,39400.0,63600.0,40400.0,47900.0,85700.0,117000.0
Arkansas State University (ASU),State,38700.0,63300.0,33600.0,45300.0,83900.0,118000.0
Kent State University,State,38700.0,62600.0,36100.0,45800.0,87000.0,124000.0
Tarleton State University (TSU),State,40800.0,62400.0,32100.0,47400.0,80400.0,126000.0
University of Wisconsin (UW) - Green Bay,State,35800.0,60600.0,35500.0,46800.0,81800.0,102000.0
Morehead State University,State,34800.0,60600.0,34300.0,46500.0,72000.0,91300.0
Austin Peay State University,State,37700.0,59200.0,32200.0,40500.0,73900.0,96200.0
Pittsburg State University,State,40400.0,58200.0,25600.0,46000.0,84600.0,117000.0
Southern Utah University,State,41900.0,56500.0,30700.0,39700.0,78400.0,116000.0
Montana State University - Billings,State,37900.0,50600.0,22600.0,31800.0,78500.0,98900.0
Black Hills State University,State,35300.0,43900.0,27000.0,32200.0,60900.0,87600.0